name,tax_id,relative_abundance,abundance_score,hit_frequency
Bacillales,1385,16.12309,61584.01,4388
Lactobacillales,186826,0.6410699999999999,1978.52,4387
Tissierellales,1737405,0.63222,59675.17,986508
Tissierellia_u_o,1737404,0.84,2205,17737
Veillonellales,1843489,11.396980000000001,34466.2,32956
Clostridiales,186802,1.7227999999999999,5263.360000000001,31515
Corynebacteriales,85007,21.0933,61671.69,66929
Actinomycetales,2037,4.924799999999999,14244.99,361567
Propionibacteriales,85009,0.84074,5016.349999999999,2531
Micrococcales,85006,0.14033,464.72,500
Coriobacteriales,84999,0.03,90,231
Campylobacterales,213849,0.5,1327,8456
Bacteroidales,171549,2.9202800000000004,15607.98,407834
