name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus capitis,29388,69.81,17627,11834
Staphylococcus epidermidis,1282,7.82,1973,148
Staphylococcus lugdunensis,28035,5.63,1421,157
Staphylococcus_u_s,1279,0.71,179,407
Staphylococcus aureus,1280,2.35,594,467
Aerococcus viridans,1377,0.74,186,1891
Corynebacterium tuberculostearicum,38304,1.65,416,1982
Corynebacterium pseudogenitalium,38303,1.61,406,2201
Propionibacteriaceae_u_s,31957,0.42,106,215
Micrococcus luteus,1270,7.72,1949,1546
Acinetobacter_u_s,469,0.65,164,8
Pseudomonas sp. 1-7,633150,0.57,145,2749
Aeromonas_u_s,642,0.32,82,16
