name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcaceae,90964,94.50054000000002,846840.1999999998,31944
Paenibacillaceae,186822,0.04,337,2985
Streptococcaceae,1300,0.02,185,5241
Peptoniphilaceae,1570339,0.01042,490.34000000000003,5095
Veillonellaceae,31977,0.01,111,10
Propionibacteriaceae,31957,1.08722,24451.780000000002,11537
Micrococcaceae,1268,0.0229,2748.54,4727
Corynebacteriaceae,1653,0.011099999999999999,1088.8899999999999,7393
Rhodospirillales_u_f,204441,0.09,811,8728
Neisseriaceae,481,0.01009,159.55,53
