name,tax_id,relative_abundance,abundance_score,hit_frequency
Cutibacterium acnes,1747,34.58,4530,10
Propionibacterium sp. 5_U_42AFAA,450748,34.21,4481,13
Kocuria_u_s,57493,1.12,146,32
Micrococcus luteus,1270,5.98,783,798
Corynebacterium pseudogenitalium,38303,4.35,569,3881
Corynebacterium tuberculostearicum,38304,4.23,554,3132
Corynebacterium ihumii,1232427,1.02,134,2839
Varibaculum cambriense,184870,0.6,78,98
Staphylococcus capitis,29388,2.34,307,77
Staphylococcus epidermidis,1282,1.81,237,101
Staphylococcus pettenkoferi,170573,0.61,81,1898
Staphylococcus_u_s,1279,1.71,225,109
Staphylococcus aureus,1280,0.68,89,47
Streptococcus_u_s,1301,0.89,117,7
Anaerococcus prevotii,33034,0.64,84,15
Finegoldia magna,1260,0.82,108,129
Peptoniphilus_u_s,162289,0.59,77,117
Tissierellia bacterium S7-1-4,1284708,0.62,81,1127
Burkholderiales_u_s,80840,0.85,111,10
Enhydrobacter aerosaccus,225324,2.35,307,3337
