name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,35.72,3010797.0,94.81,91.96,3558
Staphylococcus aureus GENE 1600 Branch,,-,10.21,861023.0,48.42,48.42,156
Staphylococcus aureus GI 33390920,,-,9.88,832746.0,100.0,100.0,526
Staphylococcus aureus GENE thyA,,-,7.99,673945.0,84.92,84.92,929
Staphylococcus aureus GI 33390939,,-,7.47,629464.0,85.71,85.71,161
Staphylococcus aureus GENE AACA-APHD,,-,6.55,552060.0,75.18,75.18,736
Staphylococcus aureus GI 33390945,,-,6.04,509271.0,100.0,100.0,107
Staphylococcus aureus GENE dfrA,,-,5.62,473945.0,57.94,57.94,460
Staphylococcus aureus GI 33390966,,-,3.06,257710.0,44.92,44.92,215
Staphylococcus epidermidis GeneID SEA1545,,-,4.56,384699.0,64.86,64.86,229
Staphylococcus lentus GENE ermC,,-,2.9,244012.0,41.74,41.74,216
