name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Propionibacterium phage P105,1229788,18.19,2638546.0,31.38,21.85,35150
Propionibacterium phage PHL111M01,1235653,6.04,876037.0,20.49,6.11,8750
Propionibacterium phage P101A,1229786,2.72,395042.0,7.28,2.14,1841
Propionibacterium phage P100_1,1229791,2.35,341402.0,5.97,1.41,2064
Propionibacterium phage PHL060L00,1235647,3.57,518281.0,9.01,3.34,3336
Propionibacterium phage P9.1,1229782,2.14,310963.0,6.76,1.65,1451
Propionibacterium phage PA6,376758,1.58,229779.0,7.45,1.95,1211
Propionibacterium phage PAD20,504501,3.18,460768.0,7.19,3.22,4760
Propionibacterium phage ATCC29399B_C,1229794,1.11,161439.0,5.83,4.41,786
Propionibacterium phage P100_A,1229790,0.8,115716.0,2.72,1.02,2106
Propionibacterium phage PHL113M01,1235655,12.05,1747908.0,21.9,11.26,15108
Propionibacterium phage P1.1,1229792,3.89,564243.0,10.06,3.64,3893
Propionibacterium phage P14.4,1229784,2.86,415000.0,7.15,1.55,2333
Propionibacterium phage P100D,1229789,2.51,363533.0,8.7,1.31,1102
Propionibacterium phage P104A,1229787,2.45,355849.0,8.68,2.83,2601
Propionibacterium phage PHL071N05,1235650,2.23,322754.0,7.41,2.5,2418
Propionibacterium phage PHL112N00,1235654,1.67,242082.0,6.79,2.04,1439
Propionibacterium phage PHL067M10,1235649,2.81,407105.0,7.8,2.51,2580
Lactobacillus phage phiadh,12417,0.27,38577.0,4.9,4.9,1568
Staphylococcus phage StB27,1147044,0.32,46467.0,2.74,3.03,4521
Staphylococcus phage StB20,1147043,23.95,3474150.0,36.69,37.51,301900
Staphylococcus phage Ipla5,1197952,0.68,99219.0,4.27,4.51,6407
Staphylococcus phage PH15,399185,0.37,54303.0,1.92,1.55,3589
Staphylococcus phage CNPH82,398839,0.43,62404.0,3.59,3.63,3137
Staphylococcus phage Ipla7,1197953,0.37,54303.0,1.93,1.93,3452
Staphylococcus phage 80alpha,53369,0.13,18505.0,3.91,4.07,7
Lactobacillus phage phi jlb1,1416334,0.19,27663.0,4.01,3.85,543
Human polyomavirus 6,746830,0.75,109188.0,17.24,17.24,437
Lactobacillus prophage Lj771,139871,0.1,14892.0,2.21,1.81,446
Equine infectious anemia virus,11665,0.07,10918.0,1.45,1.45,234
Human immunodeficiency virus 1,11676,0.19,28233.0,4.66,4.66,177
