name,tax_id,relative_abundance,abundance_score,hit_frequency
Actinobacteria,1760,10.739189999999997,114116.18000000001,3188030
Coriobacteriia,84998,0.11051,264.34000000000003,3767
Bacilli,91061,1.7288500000000002,21674.650000000005,257807
Negativicutes,909932,0.65267,3065.66,15292
Erysipelotrichia,526524,0.05,80,642
Gammaproteobacteria,1236,2.0055600000000005,13642.25,82897
Alphaproteobacteria,28211,0.53819,5346.539999999999,68644
Betaproteobacteria,28216,0.3571,1703.39,15059
Bacteroidia,200643,0.11106,343.87,1895
Flavobacteriia,117743,0.13108,382.90999999999997,3951
