name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Staphylococcus phage 77,259901,10.53,87753.0,34.29,6.64,154
Staphylococcus phage Pvl108,360398,1.34,11163.0,12.76,3.15,60
Staphylococcus phage phiBU01,1519999,14.3,119215.0,32.72,11.12,261
Staphylococcus phage phiNM3,387909,6.74,56201.0,32.97,1.34,21
Staphylococcus phage StauST398-5,1308897,8.06,67219.0,9.8,20.2,220
Staphylococcus phage SA13,1195086,6.27,52272.0,8.14,1.84,43
Staphylococcus phage TEM123,1168613,10.2,84971.0,12.21,3.07,84
Staphylococcus phage tp310-2,445516,5.37,44775.0,5.39,12.07,1022
Staphylococcus phage SMSAP5,1168612,1.12,9380.0,1.82,1.5,17
Staphylococcus phage phiETA3,326037,9.81,81741.0,15.0,4.68,158
Staphylococcus phage 92,320849,5.6,46638.0,7.63,1.43,15
Staphylococcus phage 42E,320837,2.57,21383.0,3.36,3.69,215
Human papillomavirus type 10,333759,0.86,7141.0,1.65,1.65,61
Staphylococcus phage tp310-3,445517,17.23,143613.0,17.43,14.85,143
