name,tax_id,relative_abundance,abundance_score,hit_frequency
Propionibacteriales,85009,25.938100000000002,41643.030000000006,773
Micrococcales,85006,7.6274700000000015,10982.999999999998,232859
Corynebacteriales,85007,0.20364000000000002,6181.98,61653
Actinomycetales,2037,1.24471,2227.6000000000004,19931
Bacillales,1385,2.22708,7314.02,22724
Lactobacillales,186826,0.34872000000000003,2629.32,7649
Tissierellales,1737405,0.4433600000000001,2275.29,15560
Tissierellia_u_o,1737404,0.96,789,9135
Clostridiales,186802,0.18787,1614.38,15843
Veillonellales,1843489,0.10823,760.46,34
Pseudomonadales,72274,0.21111,265.71,800
Rhodospirillales,204441,2.8,2310,22738
Campylobacterales,213849,0.13,105,1172
Neisseriales,206351,0.11,91,24
Bacteroidales,171549,0.4654799999999999,3276.7199999999993,37942
