name,tax_id,relative_abundance,abundance_score,hit_frequency
Acinetobacter idrijaensis,1507807,4.47,2973,4507
Acinetobacter lwoffii,28090,7.28,4845,5357
Acinetobacter schindleri,108981,2.83,1882,6283
Acinetobacter sp. CIP 101966,1144662,6.92,4603,4340
Acinetobacter towneri,202956,2.06,1370,47
Acinetobacter baumannii,470,0.29,195,2463
Acinetobacter pittii,48296,0.31,207,183
Acinetobacter johnsonii,40214,6.38,4247,18243
Acinetobacter_u_s,469,0.89,592,60
Acinetobacter haemolyticus,29430,0.18,120,50
Acinetobacter junii,40215,0.51,339,19
Acinetobacter ursingii,108980,0.12,82,14
Pseudomonas sp. 1-7,633150,9.7,6456,154984
Pseudomonas alcaliphila,101564,2.36,1570,10208
Pseudomonas aeruginosa,287,3.26,2172,651
Pseudomonas mendocina,300,2.17,1444,5772
Pseudomonas bauzanensis,653930,0.12,81,3393
Pseudomonas stutzeri,316,0.26,174,81
Pseudomonas_u_s,286,0.2,133,18
Aeromonas caviae,648,1.05,697,1903
Aeromonas sp. HZM,1454008,0.74,493,947
Aeromonas_u_s,642,0.18,121,61
Leclercia adecarboxylata,83655,0.33,217,5102
Escherichia coli,562,0.12,81,6
Klebsiella_u_s,570,0.15,100,408
Enterobacter_u_s,547,0.12,82,15
Serratia marcescens,615,0.14,96,833
Shewanella_u_s,22,0.49,324,710
Halomonas_u_s,2745,0.13,86,12
Enhydrobacter aerosaccus,225324,0.3,202,1836
Ochrobactrum_u_s,528,0.13,84,38
Brevundimonas_u_s,41275,0.15,99,42
Comamonas aquatica,225991,0.23,154,2566
Aerococcus viridans,1377,11.03,7344,95677
Aerococcus urinaeequi,51665,1.01,673,6988
Enterococcus faecium,1352,0.21,140,10
Lactobacillus_u_s,1578,0.13,84,19
Streptococcus_u_s,1301,0.37,246,67
Streptococcus anginosus,1328,0.12,80,8
Staphylococcus capitis,29388,1.84,1221,397
Staphylococcus epidermidis,1282,1.44,956,16
Staphylococcus sp. JGI 0001002-I23,1157683,0.95,634,115
Staphylococcus haemolyticus,1283,0.74,493,336
Staphylococcus cohnii,29382,0.45,297,499
Staphylococcus_u_s,1279,0.65,429,476
Staphylococcus equorum,246432,0.81,538,1643
Staphylococcus saprophyticus,29385,0.29,191,285
Staphylococcus xylosus,1288,0.2,133,749
Staphylococcus lentus,42858,0.21,140,2651
Staphylococcus massiliensis,555791,0.34,229,3327
Staphylococcus lugdunensis,28035,0.12,79,42
Staphylococcus pseudintermedius,283734,0.11,76,622
Staphylococcus pettenkoferi,170573,0.18,119,2666
Staphylococcus hominis,1290,0.16,109,61
Jeotgalicoccus psychrophilus,157228,1.22,815,14131
Jeotgalicoccus marinus,516700,0.55,366,6297
Exiguobacterium_u_s,33986,0.21,143,1516
Brochothrix thermosphacta,2756,0.37,248,4842
Finegoldia magna,1260,0.38,253,60
Peptoniphilus_u_s,162289,0.2,133,472
Peptoniphilus harei,54005,0.12,83,925
Anaerococcus prevotii,33034,0.3,198,39
Anaerococcus_u_s,165779,0.16,105,45
Levyella massiliensis,938289,0.12,77,1281
Clostridium perfringens,1502,0.12,78,281
Kocuria rhizophila,72000,0.2,131,1294
Rothia_u_s,32207,0.28,187,8
Micrococcus luteus,1270,9.3,6189,7123
Brevibacterium ravenspurgense,479117,0.15,103,2516
Corynebacterium jeikeium,38289,0.15,99,1262
Corynebacterium urealyticum,43771,0.14,94,1141
Corynebacterium pseudogenitalium,38303,3.43,2282,17014
Corynebacterium tuberculostearicum,38304,3.22,2144,12569
Corynebacterium massiliense,441501,0.66,437,8573
Corynebacterium pyruviciproducens,598660,0.24,163,3610
Propionibacteriaceae_u_s,31957,0.52,349,46
Cutibacterium granulosum,33011,0.11,76,484
Actinomyces neuii,33007,0.23,155,3174
Mobiluncus_u_s,2050,0.36,242,30
Empedobacter falsenii,343874,0.95,635,12153
Porphyromonas uenonis,281920,0.14,97,268
