name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Tetracycline tet 39,,-,14.35,1694823.0,100.0,100.0,1924
AR 277 676 2398 Branch,,-,4.81,567988.0,43.45,43.45,504
Aminoglycoside 2024 Branch,,-,2.43,286631.0,50.68,50.68,200
Tetracycline tetK,,-,40.55,4790364.0,98.38,98.38,19158
Aminoglycoside aadC,,-,17.15,2026369.0,96.11,96.11,2810
Efflux-pump msrE,,-,6.25,738728.0,78.18,78.18,1659
Sulphonamide sul2,,-,3.23,381331.0,43.4,43.4,747
Macrolide ermX,,-,2.96,349999.0,45.47,45.47,614
Beta-lactam-resistance blaOXA 211,,-,2.93,345700.0,64.25,54.32,65
Beta-lactam-resistance blaTEM 153,,-,2.92,344305.0,100.0,100.0,17
Beta-lactam-resistance blaTEM 138,,-,2.43,286591.0,90.48,86.67,13
