name,tax_id,relative_abundance,abundance_score,hit_frequency
Kocuria,57493,1.3865599999999998,871.23,5262
Rothia,32207,0.54257,341.88,2019
Micrococcus,1269,11.27,4817,5820
Microbacterium,33882,1.49,637,2959
Brachybacterium,43668,0.36,152,3226
Cutibacterium,1912216,8.64,3691,10
Propionibacteriaceae_u_g,31957,7.67,3279,311
Corynebacterium,1716,0.58763,8611.010000000002,40178
Actinomyces,1654,0.25,106,2510
Staphylococcus,1279,6.067900000000001,5462.59,14113
Paenibacillus,44249,1.29,549,4988
Lactobacillus,1578,0.7433299999999999,880.0,2992
Aerococcus,1375,0.43,182,391
Streptococcus,1301,0.39449,356.76,12
Finegoldia,150022,0.62,264,232
Veillonella,29465,0.33,141,20
Acinetobacter,469,12.14181,9494.929999999998,52380
Pseudomonas,286,0.19,79,841
Serratia,613,0.31,132,3081
Escherichia,561,0.4,170,19
Aeromonas,642,0.85,361,24
Stenotrophomonas,40323,0.21,88,99
Enhydrobacter,212791,3.25,1390,15857
Paracoccus,265,0.62234,365.82,6026
Brevundimonas,41275,0.18,76,35
Neisseria,482,0.22,95,70
Porphyromonas,836,0.31,133,2794
