name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus sp. DORA_6_22_u_t,1403935,3.22,8485,411
Staphylococcus_u_t,1279,0.07,179,19
Facklamia_u_t,66831,0.06,150,15
Peptoniphilus sp. BV3AC2_u_t,1111133,0.21,539,7848
Tissierellia bacterium S5-A11_u_t,1230730,0.84,2205,17737
Dialister_u_t,39948,11.38,29990,671
Peptostreptococcus sp. MV1_u_t,1219626,0.03,80,3189
Christensenella_u_t,990721,0.05,143,475
Corynebacterium sp. KPL1856_u_t,1203563,21.07,55528,470
Mobiluncus_u_t,2050,0.11,293,107
Propionibacterium_u_t,1743,0.83,2185,31
Propionibacterium sp. KPL1844_u_t,1203573,0.08,216,1824
Propionibacteriaceae_u_t,31957,0.13,351,10
Rothia_u_t,32207,0.03,86,19
Atopobium sp. BV3Ac4_u_t,1111121,0.03,90,231
Prevotella sp. BV3P1_u_t,1111130,0.64,1693,4940
Porphyromonas_u_t,836,0.21,554,49
