name,tax_id,relative_abundance,abundance_score,hit_frequency
Bacillales,1385,72.62605,146182.44,161062
Lactobacillales,186826,0.14290000000000003,736.22,5372
Veillonellales,1843489,0.22268,844.5899999999999,778
Selenomonadales,909929,0.08,137,1121
Corynebacteriales,85007,0.23825999999999997,13712.32,141273
Propionibacteriales,85009,1.46494,5060.03,2387
Actinomycetales,2037,0.22329,2646.9800000000005,37240
Micrococcales,85006,0.10215,536.78,1934
Neisseriales,206351,0.06434,855.03,7015
Burkholderiales,80840,0.21,357,7726
Bacteroidales,171549,0.17056000000000002,380.7,455
Flavobacteriales,200644,0.0811,320.51,4509
