name,tax_id,relative_abundance,abundance_score,hit_frequency
Actinobacteria,1760,35.279190000000014,818669.4900000001,845421
Coriobacteriia,84998,0.01,146,2431
Bacilli,91061,11.089630000000003,145732.87999999998,63478
Tissierellia,1737404,0.08824,50541.119999999995,928245
Negativicutes,909932,0.02417,4511.34,32886
Clostridia,186801,0.21033,2521.12,8718
Epsilonproteobacteria,29547,0.22,2277,15739
Gammaproteobacteria,1236,0.17256000000000002,4411.29,8834
Alphaproteobacteria,28211,0.08055000000000001,1442.6999999999998,28951
Synergistia,649775,0.27257000000000003,5454.76,1330
Bacteroidia,200643,0.04304,3616.1600000000003,34950
Flavobacteriia,117743,0.01,91,71
