name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Propionibacterium phage P105,1229788,73.98,29749485.0,35.94,26.77,339245
Pa6virus,1982251,19.64,7896788.0,8.24,8.24,4766
Phifelvirus,1623299,0.02,8037.0,1.66,1.66,94
Lactobacillus phage phiadh,12417,0.09,36493.0,4.88,4.81,1280
Staphylococcus phage StB27,1147044,0.06,22878.0,2.16,2.3,1841
Staphylococcus phage StB12,1147042,0.03,13054.0,1.6,1.64,963
Staphylococcus phage StB20,1147043,5.3,2133035.0,31.79,32.9,189415
Staphylococcus phage Ipla5,1197952,0.15,60578.0,3.87,4.65,3192
Staphylococcus phage PH15,399185,0.1,39064.0,1.75,1.07,2326
Staphylococcus phage Ipla7,1197953,0.11,43701.0,1.97,1.84,2315
Staphylococcus phage CNPH82,398839,0.08,32698.0,2.49,2.51,1607
Staphylococcus phage 80alpha,53369,0.06,24468.0,4.25,4.07,14
Sextaecvirus,1922243,0.02,6487.0,1.03,1.03,223
Lactobacillus phage phi jlb1,1416334,0.14,55780.0,7.48,5.44,765
Lactobacillus prophage Lj771,139871,0.1,41618.0,5.45,5.0,1176
Equine infectious anemia virus,11665,0.03,12238.0,1.88,1.88,209
Human immunodeficiency virus 1,11676,0.09,35960.0,4.23,4.23,312
