name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus,1279,94.50054000000002,846840.1999999998,31944
Paenibacillus,44249,0.04,337,2985
Streptococcus,1301,0.02,185,5241
Anaerococcus,165779,0.01024,334.33000000000004,3544
Peptoniphilus,162289,0.02,156,1551
Veillonella,29465,0.01,111,10
Propionibacterium,1743,1.07328,12230.99,1079
Propionibacteriaceae_u_g,31957,0.47,4128,337
Cutibacterium,1912216,0.48446999999999996,8093.66,10121
Kocuria,57493,0.02,206,2339
Micrococcus,1269,0.29,2543,2388
Corynebacterium,1716,0.011099999999999999,1088.8899999999999,7393
Enhydrobacter,212791,0.09,811,8728
Neisseriaceae_u_g,481,0.01,77,14
Neisseria,482,0.01,83,39
