name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,30.12,52881765.0,89.29,83.42,53692
Staphylococcus aureus GENE 1602 Branch,,-,6.28,11029752.0,50.71,64.44,1720
Staphylococcus aureus GI 33390920,,-,17.34,30453346.0,100.0,100.0,26473
Staphylococcus aureus GENE thyA,,-,12.26,21526677.0,100.0,100.0,56683
Staphylococcus aureus GENE dfrA,,-,12.17,21368868.0,81.97,81.97,27342
Staphylococcus aureus GENE blaZ,,-,4.61,8086315.0,81.86,81.86,20247
Staphylococcus aureus GENE blaI,,-,4.37,7676607.0,84.66,84.66,8712
Staphylococcus aureus GENE blaR1,,-,3.16,5548379.0,57.33,57.33,25935
Staphylococcus aureus GI 33390939,,-,0.12,204882.0,42.86,42.86,53
Staphylococcus epidermidis GeneID SEA1545,,-,7.25,12726358.0,100.0,100.0,16030
Staphylococcus lentus GENE repC,,-,1.98,3479874.0,40.84,40.84,8927
Staphylococcus lentus GENE ermC,,-,0.12,211225.0,40.54,40.54,144
Staphylococcus lentus GI 60416748,,-,0.06,100745.0,50.0,50.0,6
Vibrio cholerae GENE intI1,,-,0.16,278809.0,100.0,100.0,13
