name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcaceae,90964,57.68126999999999,83120.56,307829
Aerococcaceae,186827,0.08,116,1771
Carnobacteriaceae,186828,4.91,6720,146388
Streptococcaceae,1300,0.20917999999999998,1525.09,5550
Peptoniphilaceae,1570339,0.41063999999999995,653.16,7554
Veillonellaceae,31977,0.09,118,15
Propionibacteriaceae,31957,8.5206,13081.710000000001,8813
Micrococcaceae,1268,0.17918,5546.799999999999,18790
Microbacteriaceae,85023,0.19,262,1297
Dermabacteraceae,85020,0.17,226,4713
Corynebacteriaceae,1653,0.6082,18189.13,347690
Dietziaceae,85029,0.21,285,46
Actinomycetaceae,2049,0.19615,1100.97,7481
Moraxellaceae,468,1.4461799999999998,2808.59,3004
Pseudomonadaceae,135621,0.11,151,221
Pasteurellaceae,712,0.15084,325.2,854
Enterobacteriaceae,543,0.20369,771.8199999999999,884
Yersiniaceae,1903411,0.13,176,996
Alcaligenaceae,506,0.1,135,260
Neisseriaceae,481,0.55279,1127.1799999999998,1480
Rhizobiaceae,82115,0.13,181,66
Caulobacteraceae,76892,0.1,139,2449
