name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus sp. TE8_u_t,1472720,0.29,395,1193
Staphylococcus_u_t,1279,0.24,325,12
Streptococcus_u_t,1301,0.14,184,59
Veillonella_u_t,29465,0.09,118,15
Propionibacterium sp. KPL1844_u_t,1203573,0.75,1021,7795
Microbacterium sp. KROCY2_u_t,1305732,0.19,262,1297
Corynebacterium sp. ATCC 6931_u_t,1487956,0.27,367,4168
Dietzia_u_t,37914,0.21,285,46
Acinetobacter_u_t,469,0.12,161,61
Haemophilus_u_t,724,0.08,115,12
Serratia_u_t,613,0.13,176,996
Neisseria_u_t,482,0.07,101,103
Rhizobiaceae_u_t,82115,0.13,181,66
Caulobacter sp. JGI 0001013-D04_u_t,1157680,0.1,139,2449
