name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,9.47,1966874.0,100.0,100.0,2039
Staphylococcus aureus GI 33390920,,-,22.79,4732984.0,91.72,91.72,4608
Staphylococcus aureus GENE dfrA,,-,15.2,3156948.0,75.54,75.54,4434
Staphylococcus aureus GENE thyA,,-,15.08,3131786.0,90.65,90.65,8531
Staphylococcus aureus GENE qacC,,-,10.69,2219999.0,100.0,100.0,1931
Staphylococcus aureus GENE blaZ,,-,3.62,751705.0,46.65,46.65,1811
Staphylococcus epidermidis GeneID SEA1545,,-,14.29,2967759.0,86.94,86.94,3893
Staphylococcus lentus GENE repL,,-,3.03,628790.0,83.8,83.8,468
Staphylococcus lentus GENE ermC,,-,1.17,242508.0,40.54,40.54,228
Staphylococcus lentus GI 60416748,,-,0.56,116062.0,50.0,50.0,9
Proteus mirabilis GENE tnpA,,-,2.33,484115.0,100.0,100.0,57
Escherichia coli GENE aphA7,,-,1.78,370068.0,57.19,57.19,329
