name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Staphylococcus phage P954,668618,15.57,158341.0,18.86,6.0,244
unclassified Siphoviridae,196894,13.28,135012.0,18.14,6.78,84
Staphylococcus phage PVL,71366,3.62,36763.0,10.45,1.12,11
Staphylococcus phage StauST398-5,1308897,3.83,38987.0,5.92,9.31,142
Staphylococcus phage 11,12360,11.57,117654.0,15.46,2.8,44
Staphylococcus phage 69,320834,10.73,109113.0,14.16,2.34,57
Staphylococcus phage phiETA2,326036,10.7,108776.0,13.82,2.6,62
Staphylococcus phage 55,320845,2.3,23371.0,3.79,2.14,94
Staphylococcus phage 88,320848,2.82,28702.0,5.02,1.17,16
Staphylococcus phage Pvl108,360398,3.77,38317.0,5.29,1.72,18
Staphylococcus phage phiPVL-CN125,648017,2.52,25622.0,3.86,1.54,46
Staphylococcus phage PT1028,320831,4.07,41360.0,5.61,5.61,812
Merkel cell polyomavirus,493803,9.59,97498.0,14.37,14.2,535
Staphylococcus phage tp310-3,445517,5.65,57443.0,8.51,4.8,41
