name,tax_id,relative_abundance,abundance_score,hit_frequency
Micrococcales,85006,13.48482,36980.03,1414328
Corynebacteriales,85007,0.321,23233.49,925237
Propionibacteriales,85009,2.39844,4626.389999999999,1531
Bifidobacteriales,85004,1.29,1413,1809
Actinomycetales,2037,0.5380600000000001,1461.0500000000002,19041
Bacillales,1385,4.7561100000000005,16719.11,31571
Lactobacillales,186826,0.21240000000000003,1577.49,4195
Tissierellales,1737405,0.80687,1631.0700000000002,5731
Veillonellales,1843489,0.18087,287.57,108
Clostridiales,186802,0.24,264,6
Burkholderiales,80840,12.53139,13878.89,49258
Neisseriales,206351,0.13,140,13
Pseudomonadales,72274,0.49654,2332.54,5102
Pasteurellales,135625,0.15,165,372
Enterobacterales,91347,0.51468,1068.4299999999998,341
Alteromonadales,135622,0.09,94,100
Xanthomonadales,135614,0.14,149,838
Rhodospirillales,204441,1.8808399999999998,2147.24,24779
Caulobacterales,204458,0.07,77,539
Rhodobacterales,204455,0.1,106,416
Rhizobiales,356,0.23241,517.45,6435
Bacteroidales,171549,0.2635,664.05,5226
