name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,14.91,2542154.0,88.64,82.41,3260
Staphylococcus aureus GI 33390948,,-,6.87,1171905.0,77.24,63.54,995
Staphylococcus aureus GENE qacC,,-,8.22,1402630.0,100.0,100.0,1109
Staphylococcus aureus GENE AACA-APHD,,-,6.31,1076532.0,93.84,93.84,2238
Staphylococcus aureus GI 33390945,,-,5.22,891020.0,100.0,100.0,325
Staphylococcus aureus GI 33390940,,-,3.62,618121.0,83.69,83.69,673
Staphylococcus aureus GI 33390920,,-,3.36,573792.0,77.07,77.07,358
Staphylococcus aureus GENE thyA,,-,2.9,493719.0,72.14,72.14,558
Staphylococcus aureus GENE dfrA,,-,2.49,424475.0,63.95,63.95,315
Staphylococcus aureus GENE traB,,-,1.87,318417.0,68.59,68.59,83
Staphylococcus aureus GI 33390942,,-,1.81,309439.0,67.07,67.07,75
Staphylococcus aureus GENE traG,,-,1.69,287346.0,50.42,50.42,220
Staphylococcus aureus GI 33390968,,-,1.63,278314.0,46.88,46.88,257
Staphylococcus aureus GI 33390969,,-,1.6,272580.0,42.09,42.09,445
Staphylococcus aureus GI 33390958,,-,1.41,240684.0,46.04,46.04,144
Staphylococcus aureus GENE traJ,,-,1.36,232187.0,44.44,44.44,126
Staphylococcus aureus GI 33390939,,-,1.26,215505.0,40.48,40.48,62
Staphylococcus aureus GENE artA,,-,1.07,183207.0,49.25,49.25,33
Staphylococcus lentus GENE tetK,,-,4.85,827917.0,92.63,92.63,1523
Staphylococcus lentus GENE repC,,-,4.77,813091.0,90.49,90.49,1131
Staphylococcus lentus GENE pre,,-,4.28,730674.0,80.32,80.32,1172
Staphylococcus epidermidis GeneID SEA1545,,-,2.2,375626.0,66.67,66.67,197
Staphylococcus lentus GI 60416745,,-,1.06,181528.0,75.0,75.0,9
Enterococcus faecalis GENE tetL,,-,3.59,612765.0,89.63,100.0,475
Enterococcus faecium GENE tetL,,-,1.82,311011.0,73.82,70.91,138
Enterococcus faecalis GENE repB,,-,4.26,726297.0,82.24,82.24,915
Enterococcus faecium GENE sat4,,-,3.2,545972.0,86.67,86.67,270
Enterococcus faecalis GENE cylR2,,-,1.36,231523.0,58.11,58.11,43
Salmonella Infantis GENE tnpR,,-,0.97,166354.0,42.0,42.0,42
