name,tax_id,relative_abundance,abundance_score,hit_frequency
Micrococcus,1269,24.61,15600,74435
Kocuria,57493,3.1297200000000003,2591.06,36948
Rothia,32207,0.25145,250.86,2586
Microbacterium,33882,0.9,572,2954
Propionibacterium,1743,11.34,7188,61
Cutibacterium,1912216,0.43881,829.44,6444
Propionibacteriaceae_u_g,31957,0.14,91,122
Corynebacterium,1716,0.38480000000000003,9328.749999999998,193725
Turicella,144193,0.27,170,4472
Pseudonocardia,1847,3.87,2455,8257
Actinomyces,1654,0.14214000000000002,226.88,6669
Staphylococcus,1279,8.87552,10362.480000000001,35962
Paenibacillus,44249,4.17,2647,40416
Streptococcus,1301,0.12502,395.34,136
Lactococcus,1357,0.19,118,31
Lactobacillus,1578,0.21,132,22
Granulicatella,117563,0.14,92,13
Finegoldia,150022,0.47,300,56
Anaerococcus,165779,0.13,84,1293
Veillonella,29465,0.14,87,13
Bordetella,517,0.29,182,423
Herbaspirillum,963,0.15,94,20
Neisseria,482,0.25164,261.15,491
Acinetobacter,469,0.55026,990.5,4329
Moraxella,475,0.13,84,327
Pseudomonas,286,0.18,115,3044
Haemophilus,724,0.13,80,28
Escherichia,561,0.32,203,24
Shewanella,22,0.19,118,176
Xanthomonas,338,0.13,81,526
Enhydrobacter,212791,10.59,6713,118310
Roseomonas,125216,0.15,94,2282
Paracoccus,265,0.76,480,14254
Bacteroides,816,0.3,191,6923
Prevotella,838,0.15134,181.87,1055
