name,tax_id,relative_abundance,abundance_score,hit_frequency
Micrococcus luteus,1270,24.61,15600,74435
Kocuria rhizophila,72000,3.12,1975,31845
Kocuria palustris,71999,0.97,616,5103
Rothia mucilaginosa,43675,0.25,159,1581
Rothia_u_s,32207,0.14,92,1005
Microbacterium sp. KROCY2,1305732,0.9,572,2954
Propionibacterium sp. 5_U_42AFAA,450748,11.34,7188,61
Cutibacterium acnes,1747,0.43,271,321
[Propionibacterium] namnetense,1574624,0.33,211,5326
Cutibacterium granulosum,33011,0.55,347,797
Propionibacteriaceae_u_s,31957,0.14,91,122
Corynebacterium jeikeium,38289,0.24,150,1883
Corynebacterium genitalium,38288,5.65,3579,98616
Corynebacterium pseudogenitalium,38303,2.75,1744,17009
Corynebacterium tuberculostearicum,38304,2.64,1675,13380
Corynebacterium ihumii,1232427,1.67,1060,31271
Corynebacterium ureicelerivorans,401472,0.63,401,10198
Corynebacterium minutissimum,38301,0.39,244,7056
Corynebacterium pyruviciproducens,598660,0.34,213,6776
Corynebacterium sp. ATCC 6931,1487956,0.26,167,3680
Corynebacterium jeddahense,1414719,0.15,97,3856
Turicella otitidis,29321,0.27,170,4472
Pseudonocardia sp. P2,882856,3.87,2455,8257
Actinomyces neuii,33007,0.14,91,2762
Actinomyces timonensis,1288391,0.21,136,3907
Staphylococcus capitis,29388,8.8,5576,3683
Staphylococcus caprae,29380,0.28,178,13140
Staphylococcus epidermidis,1282,1.74,1101,1322
Staphylococcus sp. MDS7B,1209359,0.41,260,758
Staphylococcus warneri,1292,0.64,408,7114
Staphylococcus_u_s,1279,0.65,410,47
Staphylococcus haemolyticus,1283,0.41,262,251
Staphylococcus xylosus,1288,0.32,203,1639
Staphylococcus lugdunensis,28035,0.49,311,2251
Staphylococcus pettenkoferi,170573,0.24,155,5227
Staphylococcus aureus,1280,1.49,945,19
Staphylococcus hominis,1290,0.87,554,511
Paenibacillus sophorae,1333845,4.17,2647,40416
Streptococcus thermophilus,1308,0.12,77,43
Streptococcus_u_s,1301,0.38,242,80
Streptococcus mitis,28037,0.12,77,13
Lactococcus lactis,1358,0.19,118,31
Lactobacillus_u_s,1578,0.21,132,22
Granulicatella_u_s,117563,0.14,92,13
Finegoldia magna,1260,0.47,300,56
Anaerococcus prevotii,33034,0.13,84,1293
Veillonella_u_s,29465,0.14,87,13
Bordetella pertussis,520,0.29,182,423
Herbaspirillum_u_s,963,0.15,94,20
Neisseria_u_s,482,0.25,157,113
Neisseria mucosa,488,0.16,104,378
Acinetobacter baumannii,470,0.54,340,134
Acinetobacter towneri,202956,0.31,199,15
Acinetobacter sp. MDS7A,1209355,0.37,236,3915
Acinetobacter junii,40215,0.15,95,106
Acinetobacter_u_s,469,0.19,121,159
Moraxella catarrhalis,480,0.13,84,327
Pseudomonas luteola,47886,0.18,115,3044
Haemophilus influenzae,727,0.13,80,28
Escherichia coli,562,0.32,203,24
Shewanella baltica,62322,0.19,118,176
Xanthomonas campestris,339,0.13,81,526
Enhydrobacter aerosaccus,225324,10.59,6713,118310
Roseomonas_u_s,125216,0.15,94,2282
Paracoccus yeei,147645,0.76,480,14254
Bacteroides neonati,1347393,0.3,191,6923
Prevotella_u_s,838,0.15,97,262
Prevotella bivia,28125,0.13,85,793
