name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcus sp. TE8_u_t,1472720,0.17,245,805
Staphylococcus_u_t,1279,0.09,128,9
Streptococcus_u_t,1301,0.06,79,253
Propionibacterium sp. KPL2003_u_t,1203631,9.74,13791,83
Microbacterium sp. KROCY2_u_t,1305732,0.47,667,3197
Corynebacterium sp. ATCC 6931_u_t,1487956,0.21,304,3449
Dietzia_u_t,37914,0.19,272,46
Neisseriaceae_u_t,481,0.11,152,34
Serratia_u_t,613,0.06,89,15
Acinetobacter_u_t,469,0.08,115,7
Caulobacter sp. JGI 0001013-D04_u_t,1157680,0.08,107,1896
