name,tax_id,relative_abundance,abundance_score,hit_frequency
Staphylococcaceae,90964,28.900170000000003,152681.62,34827
Enterococcaceae,81852,1.16,3478,632
Streptococcaceae,1300,2.38,7169,119
Peptoniphilaceae,1570339,0.50572,15149.83,182465
Peptostreptococcaceae,186804,0.47229,2117.2200000000003,13640
Veillonellaceae,31977,0.47,1407,5016
Corynebacteriaceae,1653,0.20149999999999998,51727.25,162734
Propionibacteriaceae,31957,4.39372,20292.260000000002,180435
Dermabacteraceae,85020,0.10068,498.55,5891
Micrococcaceae,1268,0.03,83,10
Pasteurellaceae,712,9.81043,29687.56,1012488
Campylobacteraceae,72294,0.03,100,96
Fusobacteriaceae,203492,2.22,6681,30640
Prevotellaceae,171552,3.34,10066,42496
