name,tax_id,relative_abundance,abundance_score,hit_frequency
Bacillales,1385,28.900170000000003,152681.62,34827
Lactobacillales,186826,1.18381,10646.61,751
Tissierellales,1737405,0.50572,15149.83,182465
Clostridiales,186802,0.47229,2117.2200000000003,13640
Veillonellales,1843489,0.47,1407,5016
Corynebacteriales,85007,0.20149999999999998,51727.25,162734
Propionibacteriales,85009,4.39372,20292.260000000002,180435
Micrococcales,85006,0.10095000000000001,581.12,5901
Pasteurellales,135625,9.81043,29687.56,1012488
Campylobacterales,213849,0.03,100,96
Fusobacteriales,203491,2.22,6681,30640
Bacteroidales,171549,3.34,10066,42496
