name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Propionibacterium phage PHL111M01,1235653,5.05,361874.0,7.9,2.87,2649
Propionibacterium phage P105,1229788,2.84,203343.0,8.27,1.4,593
Propionibacterium phage P101A,1229786,4.64,332553.0,8.53,2.51,1340
Propionibacterium phage PHL060L00,1235647,4.28,306359.0,7.38,1.41,1066
Propionibacterium phage PAD20,504501,4.52,323887.0,7.53,2.16,2014
Propionibacterium phage PAS50,504553,3.54,253300.0,6.42,1.53,1464
Propionibacterium phage P9.1,1229782,3.84,275480.0,7.2,3.06,2208
Propionibacterium phage PA6,376758,3.71,265477.0,6.98,1.1,960
Propionibacterium phage ATCC29399B_C,1229794,3.77,270382.0,6.16,1.06,504
Propionibacterium phage PHL071N05,1235650,8.92,639156.0,11.65,3.67,4647
Propionibacterium phage P14.4,1229784,7.25,519546.0,9.89,3.25,4324
Propionibacterium phage P100D,1229789,6.77,484798.0,12.51,4.22,3011
Propionibacterium phage P1.1,1229792,6.48,464029.0,9.86,1.58,1393
Propionibacterium phage P104A,1229787,5.96,427126.0,9.98,3.43,3254
Propionibacterium phage PHL112N00,1235654,5.79,415082.0,9.87,3.36,2756
Propionibacterium phage PHL113M01,1235655,5.61,401858.0,8.04,2.33,2235
Propionibacterium phage PHL067M10,1235649,3.93,281473.0,6.69,2.74,2457
Staphylococcus phage StB20,1147043,8.53,611425.0,20.5,21.07,51465
Staphylococcus phage Ipla5,1197952,0.43,31159.0,3.2,3.98,1132
Staphylococcus phage PH15,399185,0.29,20573.0,1.97,1.45,1009
Staphylococcus phage Ipla7,1197953,0.35,25236.0,2.4,2.81,1156
Staphylococcus phage CNPH82,398839,0.33,23964.0,2.65,4.01,1166
Merkel cell polyomavirus,493803,2.44,174535.0,25.35,25.08,721
Equine infectious anemia virus,11665,0.22,16080.0,1.88,1.88,342
Human immunodeficiency virus 1,11676,0.52,37285.0,4.6,4.6,306
