name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,78.71,14457314.0,88.31,81.91,15704
Staphylococcus aureus GI 33390947,,-,2.77,507948.0,41.94,41.94,149
Staphylococcus aureus GENE blaZ,,-,2.1,386728.0,43.41,43.41,705
Staphylococcus lentus GENE repC,,-,4.64,851535.0,85.15,85.15,1333
Staphylococcus lentus GENE pre,,-,4.57,840084.0,90.67,90.67,1323
Staphylococcus lentus GENE tetK,,-,1.92,352405.0,51.28,51.28,537
Staphylococcus lentus GENE repL,,-,1.79,327914.0,40.74,40.74,336
Staphylococcus lentus GI 60416748,,-,0.69,126528.0,50.0,50.0,11
Staphylococcus lentus GI 60416745,,-,0.55,100745.0,50.0,50.0,6
Enterococcus faecium GI 21886745,,-,1.55,285090.0,58.2,100.0,34
Burkholderia pseudomallei GENE 506 Branch,,-,0.72,132496.0,100.0,100.0,3
