name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Macrolide mel,,-,6.77,1148837.0,92.52,86.13,1386
Efflux-pump amrB,,-,3.51,595527.0,66.02,55.7,129
Efflux-pump amrA,,-,2.76,468529.0,63.46,68.97,106
Repressor nalD,,-,4.23,718489.0,95.26,95.26,505
Sensor-protein soxR,,-,4.03,683654.0,96.77,96.77,320
Efflux-pump triA,,-,3.77,639919.0,86.5,86.5,576
Repressor-of-efflux-complex nfxB,,-,3.59,609410.0,92.7,92.7,325
Macrolide mefA,,-,3.55,601323.0,42.44,42.44,3539
MDR-Efflux-pump mexD,,-,3.47,588794.0,68.31,68.31,1550
MDR-Efflux-pump mexB,,-,3.3,559419.0,68.01,68.01,1338
MDR-Efflux-pump mexE,,-,3.12,529293.0,74.5,74.5,513
MDR-Efflux-pump oprN,,-,3.1,525379.0,72.49,72.49,553
Macrolide erm36,,-,3.09,524473.0,76.75,76.75,407
Efflux-pump triC,,-,3.01,510399.0,63.65,63.65,1175
MDR-Efflux-pump mexI,,-,2.94,499092.0,63.24,63.24,1085
Inner-membrane-transporter mexF,,-,2.83,479382.0,57.83,57.83,1237
MDR-Efflux-pump opmH,,-,2.81,477391.0,66.18,66.18,544
MDR-Efflux-pump mexN,,-,2.7,458387.0,57.14,57.14,1070
MDR-Efflux-pump mexP,,-,2.69,456815.0,62.19,62.19,473
Repressor nalC,,-,2.63,446779.0,73.96,73.96,240
Outer-membrane-factor oprM,,-,2.61,443172.0,62.65,62.65,504
MDR-Efflux-pump mexH,,-,2.58,437759.0,60.57,60.57,446
MDR-Efflux-pump mexQ,,-,2.47,418873.0,52.78,52.78,1001
MDR-Efflux-pump mexM,,-,2.16,366780.0,54.37,54.37,357
MDR-Efflux-pump mexC,,-,2.16,366631.0,57.72,57.72,303
Efflux-pump triB,,-,2.12,359930.0,55.04,55.04,308
Phenicol catB7,,-,2.04,345951.0,52.08,52.08,252
MDR-Efflux-pump opmD,,-,1.96,332956.0,52.49,52.49,317
Repressor-of-mexJK mexL,,-,1.95,330477.0,55.15,55.15,205
MDR-Efflux-pump oprJ,,-,1.76,298601.0,48.13,48.13,299
MDR-Efflux-pump opmE,,-,1.67,283966.0,49.21,49.21,233
MDR-Efflux-pump mexJ,,-,1.59,269347.0,48.07,48.07,188
Beta-lactam-resistance bla 281 1199 741 Branch,,-,7.01,1188439.0,84.13,54.55,7
