name,tax_id,relative_abundance,abundance_score,hit_frequency
Micrococcaceae,1268,10.23714,33479.799999999996,987695
Microbacteriaceae,85023,2.7025700000000006,20642.5,302201
Brevibacteriaceae,85019,0.09131,348.57,13602
Intrasporangiaceae,85021,5.732430000000001,9597.59,249569
Promicromonosporaceae,85017,0.51304,1313.82,10959
Dermacoccaceae,145357,0.08,134,4720
Dermatophilaceae,85018,0.07,116,146
Dermabacteraceae,85020,18.142770000000002,29575.58,1354535
Dietziaceae,85029,1.18146,3725.87,137472
Gordoniaceae,85026,0.84,1357,59
Corynebacteriaceae,1653,0.11395000000000001,814.8399999999999,6172
Mycobacteriaceae,1762,0.1,156,3935
Actinomycetaceae,2049,0.5445800000000001,11139.569999999998,106225
Propionibacteriaceae,31957,0.59134,1158.79,5273
Bifidobacteriaceae,31953,0.21092,479.5,5369
Pseudonocardiaceae,2070,0.05,77,98
Atopobiaceae,1643824,0.11051,264.34000000000003,3767
Streptococcaceae,1300,1.6588800000000004,10439.63,53211
Carnobacteriaceae,186828,0.14,229,4148
Staphylococcaceae,90964,0.8488,9118.95,189604
Bacillaceae,186817,0.62,1002,4067
Paenibacillaceae,186822,0.34,538,6761
Bacillales_u_f,1385,0.22,346,16
Veillonellaceae,31977,0.65267,3065.66,15292
Erysipelotrichaceae,128827,0.05,80,642
Pseudomonadaceae,135621,1.9713900000000004,8152.07,36158
Moraxellaceae,468,0.16327,777.72,2623
Pasteurellaceae,712,0.2,322,669
Enterobacteriaceae,543,0.5740999999999999,1571.34,2006
Yersiniaceae,1903411,0.29,460,2293
Erwiniaceae,1903409,0.07,113,114
Xanthomonadaceae,32033,1.3306600000000002,2245.52,39034
Rhodospirillales_u_f,204441,0.51,817,7192
Acetobacteraceae,433,0.06,92,1416
Rhizobiaceae,82115,0.34275000000000005,981.71,9748
Bradyrhizobiaceae,41294,0.13,207,2019
Brucellaceae,118882,0.21123999999999998,540.86,10826
Methylobacteriaceae,119045,0.25096,555.89,8332
Aurantimonadaceae,255475,0.08,136,9
Rhodobacteraceae,31989,0.22791,1618.2399999999998,28865
Caulobacteraceae,76892,0.2,317,218
Sphingomonadaceae,41297,0.05,80,19
Comamonadaceae,80864,0.35,559,1448
Alcaligenaceae,506,0.11,175,4269
Oxalobacteraceae,75682,0.08,131,3330
Neisseriaceae,481,0.06455999999999999,838.7499999999999,6012
Prevotellaceae,171552,0.11106,343.87,1895
Flavobacteriaceae,49546,0.13108,382.90999999999997,3951
