name,tax_id,relative_abundance,abundance_score,hit_frequency
Micrococcus luteus,1270,10.13,16271,613651
Kocuria palustris,71999,5.52,8867,53568
Kocuria sp. ZOR0020,1339234,0.05,87,6260
Kocuria atrinae,592377,2.68,4308,220367
Kocuria marina,223184,0.17,280,10070
Kocuria rhizophila,72000,0.14,218,8453
Kocuria_u_s,57493,0.1,154,3299
Rothia dentocariosa,2047,0.8,1278,17389
Rothia aeria,172042,0.08,122,465
Rothia mucilaginosa,43675,0.75,1200,28982
Nesterenkonia massiliensis,1232429,0.21,334,8960
Micrococcaceae_u_s,1268,0.07,107,103
Citricoccus sp. CH26A,1045009,0.16,254,16128
Microbacterium paraoxydans,199592,2.6,4168,106491
Microbacterium_u_s,33882,0.29,457,80
Microbacterium sp. KROCY2,1305732,5.87,9423,57521
Microbacterium barkeri,33917,3.63,5828,118943
Microbacterium laevaniformans,36807,0.2,326,13228
Microbacterium maritypicum,300020,0.2,319,1822
Leucobacter sp. UCD-THU,1292023,0.07,120,4116
Brevibacterium linens,1703,0.09,138,106
Brevibacterium senegalense,1033736,0.13,211,13496
Janibacter hoylei,364298,5.73,9207,249174
Knoellia_u_s,136099,0.16,255,27
Serinicoccus_u_s,265976,0.08,136,368
Cellulosimicrobium cellulans,1710,0.51,825,7298
Cellulosimicrobium sp. MM,1523621,0.3,489,3661
Kytococcus sedentarius,1276,0.08,134,4720
Mobilicoccus_u_s,984996,0.07,116,146
Brachybacterium paraconglomeratum,173362,18.14,29131,1338265
Brachybacterium muris,219301,0.21,345,10680
Brachybacterium squillarum,661979,0.06,99,5590
Dietzia sp. UCD-THP,1292020,1.17,1885,61509
Dietzia cinnamea,321318,0.91,1464,51548
Dietzia alimentaria,665550,0.24,377,24415
Gordonia terrae,2055,0.84,1357,59
Corynebacterium matruchotii,43768,0.11,181,2001
Corynebacterium pseudogenitalium,38303,0.21,331,2452
Corynebacterium tuberculostearicum,38304,0.19,303,1719
Mycobacterium abscessus,36809,0.1,156,3935
Actinomyces odontolyticus,1660,0.48,767,6280
Actinomyces graevenitzii,55565,0.08,137,1892
Actinomyces viscosus,1656,2.44,3926,41777
Actinomyces sp. oral taxon 175,712119,2.03,3267,22431
Actinomyces oris,544580,1.47,2362,18186
Actinomyces israelii,1659,0.26,422,8623
Actinomyces dentalis,272548,0.11,182,3857
Actinomyces naeslundii,1655,0.05,77,3179
Propionibacterium acidifaciens,556499,0.59,943,5252
Propionibacteriaceae_u_s,31957,0.13,216,21
Scardovia inopinata,78259,0.21,331,4743
Bifidobacterium sp. MSTE12,1161409,0.09,148,626
Pseudonocardia_u_s,1847,0.05,77,98
Atopobium parvulum,1382,0.11,183,2328
Atopobium rimae,1383,0.05,81,1439
Streptococcus parasanguinis,1318,1.61,2591,21628
Streptococcus sp. HSISM1,1316408,1.07,1718,11036
Streptococcus salivarius,1304,0.42,676,102
Streptococcus thermophilus,1308,0.05,78,6
Streptococcus vestibularis,1343,0.05,86,216
Streptococcus sanguinis,1305,1.79,2867,14613
Streptococcus mutans,1309,0.74,1194,73
Streptococcus infantis,68892,0.08,133,860
Streptococcus gordonii,1302,0.11,184,1901
Streptococcus_u_s,1301,0.08,131,447
Streptococcus australis,113107,0.08,132,1950
Streptococcus agalactiae,1311,0.33,526,45
Streptococcus mitis,28037,0.08,122,334
Granulicatella adiacens,46124,0.14,229,4148
Staphylococcus capitis,29388,0.8,1284,947
Staphylococcus sp. TE8,1472720,0.39,618,414
Staphylococcus caprae,29380,0.11,177,3406
Staphylococcus epidermidis,1282,0.36,576,56
Staphylococcus warneri,1292,0.08,129,1916
Staphylococcus massiliensis,555791,0.13,215,2595
Staphylococcus_u_s,1279,0.05,78,99
Staphylococcus pettenkoferi,170573,3.69,5925,179821
Staphylococcus hominis,1290,0.07,117,350
Bacillus sp. EGD-AK10,1386080,0.62,1002,4067
Paenibacillus sophorae,1333845,0.34,538,6761
Gemella_u_s,1378,0.22,346,16
Veillonella sp. ICM51a,936591,0.64,1030,1504
Veillonella atypica,39777,0.63,1006,878
Veillonella dispar,39778,0.5,797,12379
Veillonella parvula,29466,0.14,233,531
Solobacterium moorei,102148,0.05,80,642
Pseudomonas stutzeri,316,1.94,3112,9284
Pseudomonas_u_s,286,1.29,2065,2270
Pseudomonas oryzihabitans,47885,0.24,393,2389
Pseudomonas putida,303,0.11,175,64
Pseudomonas psychrotolerans,237610,0.12,192,2545
Pseudomonas sp. 313,1234594,0.68,1095,19422
Pseudomonas aeruginosa,287,0.48,767,20
Pseudomonas alcaligenes,43263,0.14,231,32
Acinetobacter lwoffii,28090,0.16,252,1028
Acinetobacter_u_s,469,0.09,148,14
Acinetobacter johnsonii,40214,0.24,378,1581
Haemophilus parainfluenzae,729,0.2,322,669
Raoultella ornithinolytica,54291,0.57,912,581
Klebsiella oxytoca,571,0.3,484,678
Enterobacter_u_s,547,0.05,77,11
Serratia_u_s,613,0.29,460,2293
Pantoea_u_s,53335,0.07,113,114
Stenotrophomonas maltophilia,40324,1.33,2139,38349
Xanthomonadaceae_u_s,32033,0.07,107,685
Enhydrobacter aerosaccus,225324,0.51,817,7192
Roseomonas_u_s,125216,0.06,92,1416
Rhizobium sp. H41,1510041,0.34,539,5460
Agrobacterium tumefaciens,358,0.12,200,2332
Agrobacterium sp. 33MFTa1.1,1279031,0.15,243,1956
Bradyrhizobium lupini,136996,0.13,207,2019
Ochrobactrum anthropi,529,0.21,341,3826
Ochrobactrum sp. CDB2,360313,0.07,106,2798
Ochrobactrum rhizosphaerae,571254,0.06,94,4202
Methylobacterium populi,223967,0.25,401,7320
Methylobacterium extorquens,408,0.1,155,1012
Aureimonas_u_s,414371,0.08,136,9
Paracoccus sanguinis,1545044,0.22,348,963
Paracoccus yeei,147645,0.68,1085,22925
Paracoccus sp. PAMC 22219,1569209,0.11,185,4977
Brevundimonas_u_s,41275,0.2,317,218
Sphingobium yanoikuyae,13690,0.05,80,19
Delftia sp. 670,1537702,0.35,559,1448
Achromobacter piechaudii,72556,0.11,175,4269
Massilia timonae,47229,0.08,131,3330
Neisseria_u_s,482,0.06,104,112
Neisseria sicca,490,0.08,124,29
Neisseria subflava,28449,0.13,209,1959
Morococcus cerebrosus,1056807,0.18,290,1271
Kingella oralis,505,0.07,111,2641
Prevotella histicola,470565,0.11,174,1568
Prevotella_u_s,838,0.11,170,327
Capnocytophaga gingivalis,1017,0.13,210,3943
Capnocytophaga_u_s,1016,0.11,173,8
