name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Human polyomavirus 7,746831,75.37,2128176.0,77.2,77.2,21377
Merkel cell polyomavirus,493803,4.77,134763.0,19.44,19.45,667
Pseudomonas phage F116,280701,8.37,236459.0,22.79,23.24,9148
Pseudomonas phage phiCTX,35343,8.54,241241.0,24.79,24.79,5302
Escherichia virus P1,10678,0.37,10457.0,1.04,1.04,1412
Rhizobium phage RR1-B,929834,0.19,5399.0,1.02,1.02,155
Streptococcus phage EJ-1,12402,0.6,16806.0,2.45,2.43,656
Phietavirus,1623298,0.52,14600.0,1.36,1.36,46
Staphylococcus phage StB20,1147043,0.36,10105.0,1.58,1.59,423
"dsDNA viruses, no RNA stage",35237,0.26,7370.0,2.05,2.05,19
Streptococcus phage 20617,1392231,0.51,14527.0,1.84,1.93,826
Human immunodeficiency virus 1,11676,0.13,3688.0,1.16,1.16,19
