name,tax_id,relative_abundance,abundance_score,hit_frequency
Actinobacteria,1760,26.173280000000002,61036.98,315216
Bacilli,91061,2.2589699999999993,9943.73,30373
Tissierellia,1737404,0.4529300000000001,3064.26,24695
Clostridia,186801,0.18787,1614.38,15843
Negativicutes,909932,0.10823,760.46,34
Gammaproteobacteria,1236,0.21111,265.71,800
Alphaproteobacteria,28211,2.8,2310,22738
Epsilonproteobacteria,29547,0.13,105,1172
Betaproteobacteria,28216,0.11,91,24
Bacteroidia,200643,0.4654799999999999,3276.7199999999993,37942
