name,tax_id,relative_abundance,abundance_score,hit_frequency
Cutibacterium,1912216,25.693160000000002,21442.75,563
Propionibacterium,1743,24.38,20102,94
Propionibacteriaceae_u_g,31957,0.12,98,116
Kocuria,57493,7.579680000000001,7041.589999999999,215870
Rothia,32207,0.2,161,1134
Micrococcus,1269,3.82,3150,3619
Kytococcus,57499,0.76,630,12236
Corynebacterium,1716,0.20364000000000002,6181.98,61653
Actinomyces,1654,1.24224,2024.23,17919
Mobiluncus,2050,0.1,82,66
Varibaculum,184869,0.15,121,1946
Staphylococcus,1279,2.20946,5861.39,5884
Paenibacillus,44249,1.63,1343,16817
Gemella,1378,0.13,109,23
Streptococcus,1301,0.33343000000000006,1368.79,3116
Lactobacillus,1578,1.14,936,3601
Facklamia,66831,0.23,186,920
Granulicatella,117563,0.17,138,12
Finegoldia,150022,0.42,349,3744
Peptoniphilus,162289,0.40724000000000005,928.32,3920
Anaerococcus,165779,0.4081600000000001,998.12,7896
Tissierellia_u_g,1737404,0.96,789,9135
Clostridiales Family XIII. Incertae Sedis_u_g,543314,0.17,141,1756
Fenollaria,1686313,1.06,878,9053
Levyella,1715798,0.41,339,4953
Faecalibacterium,216851,0.12,103,72
Ruminococcus,1263,0.19,153,9
Veillonella,29465,0.1,82,24
Dialister,39948,0.82,678,10
Acinetobacter,469,0.21111,265.71,800
Enhydrobacter,212791,2.8,2310,22738
Campylobacter,194,0.13,105,1172
Neisseriaceae_u_g,481,0.11,91,24
Porphyromonas,836,0.43373999999999996,660.06,10804
Prevotella,838,0.7918300000000001,2430.4100000000003,27127
Bacteroides,816,0.22,186,11
