name,tax_id,relative_abundance,abundance_score,hit_frequency
Microbacterium sp. KROCY2_u_t,1305732,1.06,356,1342
Propionibacterium sp. 5_U_42AFAA_u_t,450748,11.39,3808,86
Propionimicrobium_u_t,203133,0.36,122,914
Pseudonocardia sp. P2_u_t,882856,5.9,1973,5438
Staphylococcus_u_t,1279,0.74,248,6
Streptococcus sp. HSISS3_u_t,1316412,0.55,185,381
Streptococcus_u_t,1301,0.33,110,22
Acinetobacter sp. CIP 101966_u_t,1144662,2.24,750,468
Acinetobacter_u_t,469,1.4,469,328
Pseudomonas_u_t,286,0.88,293,4267
Aeromonas_u_t,642,1.05,351,31
Klebsiella_u_t,570,0.31,103,62
