name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency
Staphylococcus aureus GI 33390919,,-,5.92,1203914.0,84.09,75.38,1228
Staphylococcus aureus GENE qacC,,-,8.89,1808766.0,100.0,100.0,1523
Staphylococcus aureus GENE blaI,,-,1.84,374109.0,58.73,58.73,243
Staphylococcus aureus GI 33390920,,-,1.83,371517.0,74.52,74.52,117
Staphylococcus aureus GI 33390947,,-,0.95,194142.0,51.61,51.61,31
Staphylococcus lentus GENE repC,,-,24.55,4993354.0,100.0,100.0,11549
Staphylococcus lentus GENE tetK,,-,24.14,4909164.0,100.0,100.0,16591
Staphylococcus lentus GENE pre,,-,17.07,3470727.0,100.0,100.0,8853
Staphylococcus lentus GI 60416745,,-,10.48,2132181.0,100.0,100.0,249
Staphylococcus lentus GENE repL,,-,1.93,393635.0,49.54,49.54,374
Staphylococcus lentus GENE ermC,,-,1.9,385420.0,65.47,65.47,264
Staphylococcus lentus GI 60416748,,-,0.5,100745.0,50.0,50.0,6
