name,tax_id,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Human immunodeficiency virus 1,11676,53.52,358057.0,5.82,5.82,3820
Equine infectious anemia virus,11665,25.6,171250.0,4.44,4.44,4245
Human papillomavirus type 109,915426,1.38,9203.0,2.02,2.02,77
Human papillomavirus type 135,1070408,0.92,6134.0,1.45,1.45,55
Staphylococcus phage Ipla7,1197953,3.93,26297.0,4.26,2.52,243
Staphylococcus phage CNPH82,398839,2.21,14801.0,3.07,1.36,156
Staphylococcus phage PH15,399185,1.72,11514.0,2.57,1.22,151
unclassified Siphoviridae,196894,2.04,13654.0,1.18,1.18,28
Staphylococcus phage StB20,1147043,7.23,48360.0,6.28,6.19,1510
Enterobacteria phage YYZ-2008,564886,1.46,9775.0,1.87,2.46,151
