name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Plasmid-or-transposon-encoded-chloramphenicol-exporter cmx,,-,9.86,1859069.0,100.0,100.0,70
Aminoglycoside aph3' Ic,,-,9.62,1815060.0,100.0,100.0,813
MDR-Efflux-pump qacA,,-,2.42,455617.0,75.18,51.22,211
Aminoglycoside 2024 Branch,,-,6.05,1140502.0,100.0,100.0,1414
Aminoglycoside aph6 Id,,-,7.51,1416301.0,96.96,96.96,2171
Macrolide lnuA,,-,4.98,938400.0,79.83,79.83,1448
Trimethoprim dfrC,,-,4.63,873258.0,98.78,98.78,792
Macrolide erm36,,-,4.58,864229.0,89.67,89.67,928
Macrolide ermC,,-,2.53,477905.0,44.53,48.21,1681
Macrolide msrA,,-,2.15,405326.0,46.16,46.16,1400
Beta-lactam-resistance bla 1022 1943 4 Branch,,-,38.21,7206902.0,72.46,72.46,20784
Beta-lactam-resistance blaOXA 282,,-,1.97,371574.0,69.27,56.25,14
Beta-lactam-resistance blaOXA 536 Branch,,-,2.8,529041.0,58.33,65.75,66
Beta-lactam-resistance blaOXA 283 Branch,,-,0.98,184858.0,48.0,65.0,13
Beta-lactam-resistance blaTEM 90,,-,1.71,321888.0,100.0,100.0,14
