name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Pseudomonas aeruginosa GENE fleQ,,-,0.5,346246.0,53.14,53.03,363
Pseudomonas aeruginosa GENE algB,,-,0.49,336995.0,53.1,52.97,318
Pseudomonas aeruginosa GENE PilZ,,-,0.6,415574.0,79.79,79.57,119
Pseudomonas aeruginosa GENE xcpT,,-,0.97,672308.0,89.08,89.08,338
Pseudomonas aeruginosa GENE fliM,,-,0.96,665272.0,91.32,91.32,572
Pseudomonas aeruginosa GeneID PA0084,,-,0.96,664121.0,81.37,81.37,881
Pseudomonas aeruginosa GENE algK,,-,0.94,654078.0,89.58,89.58,544
Pseudomonas aeruginosa GENE algR,,-,0.92,636234.0,88.21,88.21,437
Pseudomonas aeruginosa GeneID PA0078,,-,0.9,620708.0,82.27,82.27,552
Pseudomonas aeruginosa GENE Alg44,,-,0.88,610916.0,89.02,89.02,440
Pseudomonas aeruginosa GeneID PA0075,,-,0.88,610424.0,85.8,85.8,373
Pseudomonas aeruginosa GENE xcpP,,-,0.88,607112.0,93.12,93.12,329
Pseudomonas aeruginosa GENE pilX,,-,0.85,587992.0,81.14,81.14,374
Pseudomonas aeruginosa GENE algG,,-,0.85,587329.0,80.38,80.38,639
Pseudomonas aeruginosa GENE plcH,,-,0.84,583959.0,76.85,76.85,807
Pseudomonas aeruginosa GeneID PA0089,,-,0.84,581984.0,80.57,80.57,455
Pseudomonas aeruginosa GENE lasR,,-,0.83,577377.0,87.56,87.56,353
Pseudomonas aeruginosa GENE mucB,,-,0.83,573659.0,79.57,79.57,431
Pseudomonas aeruginosa GENE fliF,,-,0.82,568588.0,76.11,76.11,739
Pseudomonas aeruginosa GENE Alg8,,-,0.82,566169.0,79.52,79.52,589
Pseudomonas aeruginosa GENE rhlB,,-,0.8,556624.0,75.35,75.35,570
Pseudomonas aeruginosa GENE algL,,-,0.8,552561.0,85.77,85.77,363
Pseudomonas aeruginosa GeneID PA0079,,-,0.78,543372.0,63.11,63.11,727
Pseudomonas aeruginosa GENE fleN,,-,0.78,543118.0,80.47,80.47,392
Pseudomonas aeruginosa GENE icmF1,,-,0.78,540979.0,76.13,76.13,633
Pseudomonas aeruginosa GENE pchF,,-,0.78,539677.0,69.53,69.53,666
Pseudomonas aeruginosa GENE fliQ,,-,0.78,538177.0,94.03,94.03,141
Pseudomonas aeruginosa GENE fliE,,-,0.78,536968.0,80.61,80.61,221
Pseudomonas aeruginosa GENE pilW,,-,0.76,527515.0,80.0,80.0,351
Pseudomonas aeruginosa GENE pilJ,,-,0.76,527471.0,63.32,63.32,910
Pseudomonas aeruginosa GENE aprA,,-,0.75,522595.0,66.83,66.83,661
Pseudomonas aeruginosa GENE ppkA,,-,0.75,517554.0,62.2,62.2,835
Pseudomonas aeruginosa GENE algE,,-,0.75,516960.0,71.59,71.59,522
Pseudomonas aeruginosa GENE fliJ,,-,0.74,511926.0,78.95,78.95,203
Pseudomonas aeruginosa GENE pchH,,-,0.74,509898.0,70.22,70.22,566
Pseudomonas aeruginosa GENE flhB,,-,0.73,509487.0,58.15,58.15,577
Pseudomonas aeruginosa GENE pchD,,-,0.73,509301.0,64.99,64.99,622
Pseudomonas aeruginosa GENE algI,,-,0.73,507065.0,71.81,71.81,541
Pseudomonas aeruginosa GENE waaP,,-,0.73,504296.0,79.4,79.4,314
Pseudomonas aeruginosa GENE fliR,,-,0.7,488089.0,76.64,76.64,298
Pseudomonas aeruginosa GENE algZ,,-,0.7,482190.0,69.36,69.36,423
Pseudomonas aeruginosa GENE pilU,,-,0.68,472591.0,70.0,70.0,417
Pseudomonas aeruginosa GENE pilV,,-,0.68,470589.0,71.84,71.84,277
Pseudomonas aeruginosa GENE fptA,,-,0.68,469177.0,65.77,65.77,600
Pseudomonas aeruginosa GENE xcpZ,,-,0.67,465382.0,75.0,75.0,189
Pseudomonas aeruginosa GENE xcpY,,-,0.67,461960.0,70.69,70.69,319
Pseudomonas aeruginosa GENE pilM,,-,0.66,460570.0,76.68,76.68,283
Pseudomonas aeruginosa GENE flhA,,-,0.65,452883.0,59.84,59.84,741
Pseudomonas aeruginosa GENE phzS,,-,0.65,452283.0,61.67,61.67,451
Pseudomonas aeruginosa GENE lasI,,-,0.65,451346.0,75.62,75.62,239
Pseudomonas aeruginosa GENE algF,,-,0.65,449845.0,74.07,74.07,205
Pseudomonas aeruginosa GENE pchA,,-,0.64,446517.0,65.8,65.8,419
Pseudomonas aeruginosa GENE xcpS,,-,0.64,443183.0,66.78,66.78,360
Pseudomonas aeruginosa GENE exoY,,-,0.64,442975.0,65.37,65.37,426
Pseudomonas aeruginosa GENE chpD,,-,0.64,441192.0,70.0,70.0,230
Pseudomonas aeruginosa GENE flgF,,-,0.63,437654.0,72.46,72.46,261
Pseudomonas aeruginosa GENE waaA,,-,0.63,436172.0,68.9,68.9,319
Pseudomonas aeruginosa GENE xcpX,,-,0.62,432578.0,69.84,69.84,248
Pseudomonas aeruginosa GENE fliP,,-,0.62,431527.0,65.57,65.57,297
Pseudomonas aeruginosa GENE chpE,,-,0.62,429366.0,73.24,73.24,191
Pseudomonas aeruginosa GENE chpB,,-,0.61,424493.0,65.56,65.56,324
Pseudomonas aeruginosa GENE xcpW,,-,0.61,424223.0,72.44,72.44,198
Pseudomonas aeruginosa GeneID PA0083,,-,0.61,420894.0,72.92,72.92,184
Pseudomonas aeruginosa GENE fliG,,-,0.6,414393.0,63.27,63.27,331
Pseudomonas aeruginosa GENE clpV1,,-,0.6,413871.0,62.85,62.85,402
Pseudomonas aeruginosa GENE flgI,,-,0.59,410270.0,62.63,62.63,343
Pseudomonas aeruginosa GENE fliI,,-,0.59,408415.0,62.88,62.88,352
Pseudomonas aeruginosa GENE hcp1,,-,0.59,406797.0,70.73,70.73,167
Pseudomonas aeruginosa GENE algQ,,-,0.58,401877.0,67.67,67.67,184
Pseudomonas aeruginosa GENE xcpU,,-,0.58,401527.0,64.93,64.93,199
Pseudomonas aeruginosa GENE pchE,,-,0.57,392092.0,60.87,60.87,359
Pseudomonas aeruginosa GENE pilR,,-,0.56,390569.0,59.5,59.5,391
