name,accession_id,class,relative_abundance,abundance_score,total_matches,unique_matches,unique_matches_frequency,unique_matches_frequency
Tetracycline tet 38,,-,2.36,1742325.0,99.32,100.0,1914
MDR-Efflux-pump qacA,,-,0.94,692381.0,82.27,75.61,446
Trimethoprim dfrC,,-,54.54,40334229.0,100.0,100.0,51353
Quinolone norA,,-,13.14,9719300.0,70.64,70.64,79834
Macrolide msrA,,-,5.86,4331641.0,68.56,68.56,26879
Aminoglycoside aph,,-,3.19,2356860.0,100.0,100.0,4931
Regulator mgrA,,-,2.49,1842760.0,79.11,79.11,2402
Repressor-of-MepA mepR,,-,2.28,1686373.0,100.0,100.0,1890
Phenicol dha1,,-,2.09,1545014.0,99.19,99.19,4000
MDR-Efflux-pump sav1866,,-,1.5,1111948.0,84.23,84.23,3867
arlR,,-,1.26,931704.0,96.92,96.92,1188
Efflux-pump mepA,,-,1.16,858390.0,67.95,67.95,2875
Response-regulator arlS,,-,1.11,818723.0,79.7,79.7,2068
mprF,,-,1.1,814565.0,49.03,49.03,7950
Aminoglycoside aac3 Ik,,-,0.79,587481.0,68.85,68.85,576
Beta-lactam-resistance bla 1022 1943 4 Branch,,-,5.76,4257445.0,60.03,60.03,9758
Beta-lactam-resistance blaTEM 63,,-,0.43,316758.0,100.0,100.0,13
